hardware,model,layer_name,input,kv_cache,latency(ns)
A800,qwen2-moe,vocab_embedding,1,10,71680
A800,qwen2-moe,input_layernorm,1,10,59946
A800,qwen2-moe,attention/qkv,1,10,77055
A800,qwen2-moe,attention/rotary_emb,1,10,134740
A800,qwen2-moe,attention/dense,1,10,56490
A800,qwen2-moe,attention/wrapper,1,10,815316
A800,qwen2-moe,post_layernorm,1,10,59264
A800,qwen2-moe,mlp/fc,1,10,77993
A800,qwen2-moe,mlp/gelu,1,10,78804
A800,qwen2-moe,mlp/proj,1,10,72960
A800,qwen2-moe,moe/shared_expert,1,10,497236
A800,qwen2-moe,moe/shared_expert_gate,1,10,89557
A800,qwen2-moe,moe/gate,1,10,61397
A800,qwen2-moe,moe/experts,1,10,411263
A800,qwen2-moe,mlp/wrapper,1,10,1468500
A800,qwen2-moe,ln_f,1,10,58368
A800,qwen2-moe,lm_head,1,10,404480
A800,qwen2-moe,vocab_embedding,1,11,72704
A800,qwen2-moe,input_layernorm,1,11,58965
A800,qwen2-moe,attention/qkv,1,11,77909
A800,qwen2-moe,attention/rotary_emb,1,11,134911
A800,qwen2-moe,attention/dense,1,11,56874
A800,qwen2-moe,attention/wrapper,1,11,754687
A800,qwen2-moe,post_layernorm,1,11,58282
A800,qwen2-moe,mlp/fc,1,11,78719
A800,qwen2-moe,mlp/gelu,1,11,78164
A800,qwen2-moe,mlp/proj,1,11,72618
A800,qwen2-moe,moe/shared_expert,1,11,495658
A800,qwen2-moe,moe/shared_expert_gate,1,11,90410
A800,qwen2-moe,moe/gate,1,11,61652
A800,qwen2-moe,moe/experts,1,11,409556
A800,qwen2-moe,mlp/wrapper,1,11,1467946
A800,qwen2-moe,ln_f,1,11,57344
A800,qwen2-moe,lm_head,1,11,406527
A800,qwen2-moe,vocab_embedding,1,12,70656
A800,qwen2-moe,input_layernorm,1,12,58794
A800,qwen2-moe,attention/qkv,1,12,76629
A800,qwen2-moe,attention/rotary_emb,1,12,134143
A800,qwen2-moe,attention/dense,1,12,56533
A800,qwen2-moe,attention/wrapper,1,12,751444
A800,qwen2-moe,post_layernorm,1,12,59391
A800,qwen2-moe,mlp/fc,1,12,78292
A800,qwen2-moe,mlp/gelu,1,12,79273
A800,qwen2-moe,mlp/proj,1,12,72917
A800,qwen2-moe,moe/shared_expert,1,12,495658
A800,qwen2-moe,moe/shared_expert_gate,1,12,89087
A800,qwen2-moe,moe/gate,1,12,60586
A800,qwen2-moe,moe/experts,1,12,411519
A800,qwen2-moe,mlp/wrapper,1,12,1467647
A800,qwen2-moe,ln_f,1,12,59392
A800,qwen2-moe,lm_head,1,12,407552
A800,qwen2-moe,vocab_embedding,1,13,73728
A800,qwen2-moe,input_layernorm,1,13,58495
A800,qwen2-moe,attention/qkv,1,13,77141
A800,qwen2-moe,attention/rotary_emb,1,13,133972
A800,qwen2-moe,attention/dense,1,13,56703
A800,qwen2-moe,attention/wrapper,1,13,752938
A800,qwen2-moe,post_layernorm,1,13,58453
A800,qwen2-moe,mlp/fc,1,13,78164
A800,qwen2-moe,mlp/gelu,1,13,78761
A800,qwen2-moe,mlp/proj,1,13,72149
A800,qwen2-moe,moe/shared_expert,1,13,494932
A800,qwen2-moe,moe/shared_expert_gate,1,13,89599
A800,qwen2-moe,moe/gate,1,13,61823
A800,qwen2-moe,moe/experts,1,13,414165
A800,qwen2-moe,mlp/wrapper,1,13,1468842
A800,qwen2-moe,ln_f,1,13,58368
A800,qwen2-moe,lm_head,1,13,407552
A800,qwen2-moe,vocab_embedding,1,14,73728
A800,qwen2-moe,input_layernorm,1,14,59050
A800,qwen2-moe,attention/qkv,1,14,78890
A800,qwen2-moe,attention/rotary_emb,1,14,135295
A800,qwen2-moe,attention/dense,1,14,56661
A800,qwen2-moe,attention/wrapper,1,14,758655
A800,qwen2-moe,post_layernorm,1,14,58282
A800,qwen2-moe,mlp/fc,1,14,78463
A800,qwen2-moe,mlp/gelu,1,14,78207
A800,qwen2-moe,mlp/proj,1,14,72490
A800,qwen2-moe,moe/shared_expert,1,14,496682
A800,qwen2-moe,moe/shared_expert_gate,1,14,89813
A800,qwen2-moe,moe/gate,1,14,63530
A800,qwen2-moe,moe/experts,1,14,411988
A800,qwen2-moe,mlp/wrapper,1,14,1475028
A800,qwen2-moe,ln_f,1,14,60416
A800,qwen2-moe,lm_head,1,14,407552
A800,qwen2-moe,vocab_embedding,1,15,72704
A800,qwen2-moe,input_layernorm,1,15,58709
A800,qwen2-moe,attention/qkv,1,15,76970
A800,qwen2-moe,attention/rotary_emb,1,15,136319
A800,qwen2-moe,attention/dense,1,15,56746
A800,qwen2-moe,attention/wrapper,1,15,815615
A800,qwen2-moe,post_layernorm,1,15,59178
A800,qwen2-moe,mlp/fc,1,15,77951
A800,qwen2-moe,mlp/gelu,1,15,79615
A800,qwen2-moe,mlp/proj,1,15,72106
A800,qwen2-moe,moe/shared_expert,1,15,493311
A800,qwen2-moe,moe/shared_expert_gate,1,15,90538
A800,qwen2-moe,moe/gate,1,15,60501
A800,qwen2-moe,moe/experts,1,15,412756
A800,qwen2-moe,mlp/wrapper,1,15,1490815
A800,qwen2-moe,ln_f,1,15,59392
A800,qwen2-moe,lm_head,1,15,410623
A800,qwen2-moe,vocab_embedding,1,16,72704
A800,qwen2-moe,input_layernorm,1,16,59903
A800,qwen2-moe,attention/qkv,1,16,79957
A800,qwen2-moe,attention/rotary_emb,1,16,148138
A800,qwen2-moe,attention/dense,1,16,67157
A800,qwen2-moe,attention/wrapper,1,16,843476
A800,qwen2-moe,post_layernorm,1,16,74837
A800,qwen2-moe,mlp/fc,1,16,84607
A800,qwen2-moe,mlp/gelu,1,16,94463
A800,qwen2-moe,mlp/proj,1,16,85759
A800,qwen2-moe,moe/shared_expert,1,16,590548
A800,qwen2-moe,moe/shared_expert_gate,1,16,90709
A800,qwen2-moe,moe/gate,1,16,61567
A800,qwen2-moe,moe/experts,1,16,423124
A800,qwen2-moe,mlp/wrapper,1,16,1595818
A800,qwen2-moe,ln_f,1,16,60416
